block_addr,result,fail_field,expected,actual
0x0C020000,FAIL,r15,0x00000000,0x0C008000
0x0C020000,FAIL,sr.IMASK,0x00000000,0x0000000F
0x0C020000,FAIL,vbr,0x00000000,0x0C000000
0x0C020000,FAIL,fpscr,0x00000000,0x00040001
0x0C020006,PASS,,,
0x0C02000E,FAIL,next_pc,0x0C02002E,0x0C02002C
0x0C02000E,FAIL,r1,0xFF00001C,0x00000000
0x0C02002C,PASS,,,
0x0C020040,PASS,,,
0x0C020048,FAIL,next_pc,0x0C020AF6,0x0C020AF4
0x0C020048,FAIL,r15,0x0CBFFFFC,0x0CC00000
0x0C020AF4,FAIL,next_pc,0x0C02068A,0x0C020688
0x0C020AF4,FAIL,r15,0x0CBFFFD8,0x0CBFFFDC
0x0C020688,FAIL,next_pc,0x0C032F72,0x0C032F70
0x0C020688,FAIL,r4,0x0C05EBC0,0x00000000
0x0C0206A2,PASS,,,
0x0C0206AE,PASS,,,
0x0C0206BC,FAIL,next_pc,0x0C02009E,0x0C02009C
0x0C02009C,FAIL,next_pc,0x0C0200A4,0x0C0200AC
0x0C0200AC,FAIL,next_pc,0x0C0206C4,0x0C0206C2
0x0C0200AC,FAIL,r1,0x0C021B74,0xEFFFFFFF
0x0C0206C2,FAIL,next_pc,0x0C021B76,0x0C021B74
0x0C0206C2,FAIL,r15,0x0CBFFFB4,0x0CBFFFB8
0x0C0206C8,FAIL,next_pc,0x0C033C72,0x0C033C70
0x0C0206C8,FAIL,r2,0x0C299228,0x0C033C70
0x0C0206CE,PASS,,,
0x0C0206E6,PASS,,,
0x0C0206F0,FAIL,next_pc,0x0C020704,0x0C020702
0x0C0206F0,FAIL,r2,0x0C0346B0,0xFFFFFF0F
0x0C020702,FAIL,next_pc,0x0C0346B2,0x0C0346B0
0x0C020702,FAIL,r15,0x0CBFFFB4,0x0CBFFFB8
